Character Count,Character Count (No Spaces),Unique Characters,Word Count,Sentence Count,Characters / Word,Words / Sentence,Characters / Sentence,Language
16598,14863,50,1721,2,8.636257989540965,860.5,7431.5,HumanRights(Korean)_orOriya
16690,14148,53,2279,19,6.20798595875384,119.94736842105263,744.6315789473684,HumanRights(Quechua)_sdSindhi
16735,14912,46,1646,1,9.059538274605103,1646.0,14912.0,HumanRights(Chinese)_mrMarathi
16796,15066,39,1553,1,9.701223438506117,1553.0,15066.0,HumanRights(Chinese)_teTelugu
16920,15073,49,1670,1,9.025748502994013,1670.0,15073.0,HumanRights(Chinese)_neNepali
16927,14951,48,1799,29,8.310728182323514,62.03448275862069,515.551724137931,HumanRights(Chinese)_guGujarati
16930,14508,51,2245,14,6.462360801781737,160.35714285714286,1036.2857142857142,HumanRights(Chinese)_sdSindhi
16956,14004,46,2689,1,5.207883971736705,2689.0,14004.0,HumanRights(Quechua)_viVietnamese (Northern)
16958,15096,33,1631,1,9.25567136725935,1631.0,15096.0,HumanRights(Japanese)_mtMaltese
16964,15121,37,1666,1,9.07623049219688,1666.0,15121.0,HumanRights(Chinese)_hyArmenian (East Armenia)
16971,14553,48,2241,18,6.493975903614458,124.5,808.5,HumanRights(Chinese)_hiHindi
17074,15464,41,1433,1,10.791346824842988,1433.0,15464.0,HumanRights(Chinese)_knKannada
17228,15580,40,1471,1,10.591434398368456,1471.0,15580.0,HumanRights(Chinese)_taTamil
17278,15108,40,1959,1,7.712098009188361,1959.0,15108.0,HumanRights(English)_asAssamese
17325,15313,40,1998,1,7.6641641641641645,1998.0,15313.0,HumanRights(Korean)_asAssamese
17485,15444,52,1830,2,8.439344262295082,915.0,7722.0,HumanRights(English)_orOriya
17623,16186,46,1260,17,12.846031746031747,74.11764705882354,952.1176470588235,HumanRights(Chinese)_mlMalayalam
17753,14787,48,2789,1,5.301900322696307,2789.0,14787.0,HumanRights(Chinese)_viVietnamese (Northern)
17916,15760,44,1979,1,7.963617988883274,1979.0,15760.0,HumanRights(Chinese)_siSinhala
17968,16089,36,1702,1,9.452996474735604,1702.0,16089.0,HumanRights(Chinese)_mtMaltese
18039,15796,37,2047,1,7.716658524670249,2047.0,15796.0,HumanRights(Portuguese)_asAssamese
18252,15938,52,2073,1,7.688374336710082,2073.0,15938.0,HumanRights(Spanish)_asAssamese
18389,16285,49,1908,5,8.535115303983229,381.6,3257.0,HumanRights(Portuguese)_orOriya
18456,15991,40,2202,1,7.262034514078111,2202.0,15991.0,HumanRights(Quechua)_asAssamese
18785,16488,51,2034,10,8.106194690265486,203.4,1648.8,HumanRights(Quechua)_orOriya
18864,16732,51,1955,3,8.558567774936062,651.6666666666666,5577.333333333333,HumanRights(Chinese)_orOriya
19125,16889,52,1995,2,8.465664160401003,997.5,8444.5,HumanRights(Spanish)_orOriya
19129,16890,51,2008,2,8.411354581673306,1004.0,8445.0,HumanRights(Japanese)_orOriya
19299,17032,51,2001,2,8.511744127936032,1000.5,8516.0,HumanRights(Russian)_orOriya
19366,16975,50,2028,3,8.370315581854044,676.0,5658.333333333333,HumanRights(Arabic)_orOriya
19437,16974,41,2197,1,7.725989986345016,2197.0,16974.0,HumanRights(Russian)_asAssamese
19684,17090,44,2231,1,7.66024204392649,2231.0,17090.0,HumanRights(Arabic)_asAssamese
19951,17423,51,2297,1,7.585111014366565,2297.0,17423.0,HumanRights(Japanese)_asAssamese
20672,19763,29,895,1,22.081564245810057,895.0,19763.0,HumanRights(Korean)_thThai
21048,19860,29,977,1,20.327533265097237,977.0,19860.0,HumanRights(English)_thThai
21123,18523,43,2423,1,7.644655385885266,2423.0,18523.0,HumanRights(Chinese)_asAssamese
21543,20356,29,991,1,20.540867810292635,991.0,20356.0,HumanRights(Portuguese)_thThai
21991,20552,35,1176,1,17.476190476190474,1176.0,20552.0,HumanRights(Quechua)_thThai
22204,20880,33,1058,1,19.735349716446123,1058.0,20880.0,HumanRights(Russian)_thThai
22376,21110,33,1025,1,20.59512195121951,1025.0,21110.0,HumanRights(Spanish)_thThai
22448,21077,32,1008,1,20.90972222222222,1008.0,21077.0,HumanRights(Arabic)_thThai
23096,21796,29,1069,1,20.38914873713751,1069.0,21796.0,HumanRights(Japanese)_thThai
24357,23041,35,1139,1,20.22914837576822,1139.0,23041.0,HumanRights(Chinese)_thThai
52394,48793,38,3587,1,13.602732088095902,3587.0,48793.0,HumanRights(Korean)_jaJapanese
56811,52638,39,3942,1,13.353120243531203,3942.0,52638.0,HumanRights(Japanese)_jaJapanese
56919,52680,39,4028,1,13.07845084409136,4028.0,52680.0,HumanRights(English)_jaJapanese
57022,52778,38,4003,1,13.184611541343992,4003.0,52778.0,HumanRights(Spanish)_jaJapanese
57064,52611,40,4090,1,12.863325183374084,4090.0,52611.0,HumanRights(Arabic)_jaJapanese
57230,52975,38,4059,1,13.051244148805125,4059.0,52975.0,HumanRights(Portuguese)_jaJapanese
57679,53362,39,4051,1,13.17254998765737,4051.0,53362.0,HumanRights(Russian)_jaJapanese
58819,53673,41,4883,1,10.991808314560721,4883.0,53673.0,HumanRights(Quechua)_jaJapanese
61237,56729,39,4331,1,13.098360655737705,4331.0,56729.0,HumanRights(Chinese)_jaJapanese
108368,102109,39,5896,1,17.318351424694708,5896.0,102109.0,HumanRights(Arabic)_arArabic
